,Season,Episode,Rating,Votes,WrittenBy,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Holly,Nellie,Creed,Gabe,Robert,David,Karen,Clark,Roy,Pete,David Wallace
0,1,1,7.5,4349,Ricky Gervais |Stephen Merchant and Greg Daniels,97.0,35.0,37.0,46.0,,2.0,5.0,6.0,,10.0,,2.0,,12.0,,5.0,,,,,,,,,,5.0,,
1,1,2,8.3,4213,B. J. Novak,103.0,40.0,35.0,26.0,,8.0,4.0,13.0,,7.0,,,2.0,,2.0,5.0,,,,,,,,,,,,
2,1,3,7.8,3536,Paul Lieberstein,69.0,88.0,57.0,44.0,,6.0,5.0,16.0,,1.0,,,,18.0,,6.0,3.0,,,,,,,,,,,
3,1,4,8.1,3428,Michael Schur,111.0,74.0,63.0,37.0,,3.0,9.0,20.0,,5.0,,5.0,,,7.0,2.0,15.0,,,,,,,,,3.0,,
4,1,5,8.4,3745,Greg Daniels,134.0,45.0,27.0,17.0,,4.0,6.0,2.0,,8.0,17.0,4.0,,,,6.0,,,,,,,,,,13.0,,
5,1,6,7.8,3372,Mindy Kaling,128.0,44.0,66.0,49.0,,7.0,3.0,1.0,,21.0,,,2.0,8.0,14.0,3.0,,,,,,,,,,14.0,,
6,2,1,8.7,3780,Mindy Kaling,138.0,74.0,42.0,48.0,,4.0,4.0,4.0,,2.0,1.0,23.0,9.0,9.0,6.0,8.0,,,,,,,,,,7.0,,
7,2,2,8.2,3218,B. J. Novak,112.0,12.0,22.0,41.0,,9.0,4.0,1.0,,1.0,9.0,6.0,,11.0,26.0,1.0,1.0,,,,,,,,,14.0,,
8,2,3,8.4,3218,Michael Schur,120.0,87.0,72.0,45.0,,13.0,8.0,13.0,,5.0,,4.0,,,4.0,3.0,1.0,,,,,,,,,,,
9,2,4,8.4,3183,B. J. Novak,79.0,80.0,67.0,28.0,,9.0,18.0,4.0,,50.0,,6.0,4.0,,2.0,7.0,4.0,,,,,,,,,6.0,,
10,2,5,8.1,2992,Greg Daniels,150.0,36.0,31.0,27.0,,2.0,14.0,7.0,,1.0,,5.0,3.0,10.0,7.0,5.0,,,,27.0,,,,,,,,
11,2,6,8.2,2981,Gene Stupnitsky | Lee Eisenberg,102.0,77.0,54.0,27.0,,4.0,6.0,2.0,,18.0,,,4.0,,5.0,9.0,1.0,,,,,,,,,,,
12,2,7,8.6,3087,Paul Lieberstein,86.0,24.0,52.0,40.0,,2.0,1.0,5.0,,8.0,,6.0,1.0,55.0,1.0,1.0,,,,,,,,,,1.0,,
13,2,8,8.2,2828,Larry Wilmore,147.0,67.0,48.0,35.0,,4.0,5.0,5.0,,14.0,,1.0,2.0,66.0,1.0,5.0,,,,1.0,,,,,,,,
14,2,9,8.4,2940,Jennifer Celotta,129.0,45.0,60.0,47.0,,12.0,14.0,6.0,,6.0,,7.0,2.0,,1.0,4.0,,,,,,,,,,7.0,,
15,2,10,8.9,3204,Michael Schur,94.0,51.0,27.0,22.0,,14.0,10.0,20.0,,18.0,12.0,8.0,13.0,,7.0,5.0,12.0,,,9.0,,,,,,8.0,,
16,2,11,8.6,3115,Greg Daniels,116.0,28.0,32.0,22.0,,,2.0,4.0,,6.0,5.0,8.0,7.0,17.0,3.0,10.0,3.0,,,6.0,,,,,,16.0,,
17,2,12,9.1,3783,Mindy Kaling,146.0,68.0,61.0,57.0,,2.0,6.0,4.0,,16.0,,3.0,1.0,,13.0,4.0,1.0,,,1.0,,,,,,,,
18,2,13,8.3,2762,Lee Eisenberg | Gene Stupnitsky,114.0,54.0,53.0,28.0,,8.0,5.0,9.0,,14.0,,,5.0,,3.0,3.0,,,,3.0,,,,,,,,
19,2,14,7.9,2745,Paul Lieberstein,126.0,47.0,36.0,28.0,,8.0,4.0,5.0,,13.0,5.0,2.0,13.0,,8.0,8.0,,,,9.0,,,,,,8.0,,
20,2,15,8.2,2723,B. J. Novak,88.0,16.0,24.0,30.0,,4.0,5.0,,,2.0,28.0,9.0,9.0,55.0,,1.0,5.0,,,,,,,,,20.0,,
21,2,16,8.3,2731,Michael Schur,53.0,29.0,25.0,30.0,,8.0,4.0,5.0,,4.0,,5.0,13.0,16.0,,,3.0,,,3.0,,,12.0,,,5.0,,
22,2,17,8.5,2875,Paul Lieberstein,75.0,64.0,36.0,24.0,,4.0,4.0,3.0,,14.0,,8.0,5.0,,4.0,6.0,1.0,,,4.0,,,,,,,,
23,2,18,8.3,2819,Mindy Kaling,81.0,27.0,24.0,26.0,,7.0,10.0,4.0,,12.0,5.0,1.0,8.0,,13.0,9.0,2.0,,,5.0,,,,,,3.0,,
24,2,19,8.1,2719,Gene Stupnitsky | Lee Eisenberg,99.0,46.0,23.0,26.0,,15.0,13.0,7.0,,10.0,,2.0,4.0,5.0,8.0,3.0,1.0,,,,,,,,,,,
25,2,20,8.4,2783,Jennifer Celotta,62.0,92.0,26.0,26.0,,7.0,8.0,8.0,,7.0,,7.0,9.0,1.0,9.0,9.0,2.0,,,2.0,,,,,,,,
26,2,21,8.7,2838,Greg Daniels,95.0,50.0,37.0,26.0,,5.0,12.0,9.0,,5.0,,15.0,2.0,,22.0,4.0,1.0,,,3.0,,,,,,,,
27,2,22,9.4,4195,Steve Carell,112.0,40.0,53.0,46.0,,16.0,5.0,5.0,,1.0,11.0,8.0,1.0,40.0,5.0,3.0,3.0,,,4.0,,,,,,11.0,,
28,3,1,9.0,3608,Greg Daniels,63.0,18.0,13.0,12.0,8.0,1.0,4.0,17.0,,1.0,,3.0,1.0,12.0,10.0,1.0,2.0,,,1.0,,,,1.0,,4.0,,
29,3,2,8.2,2663,Gene Stupnitsky | Lee Eisenberg,122.0,44.0,32.0,30.0,,3.0,10.0,,,8.0,,2.0,8.0,15.0,6.0,1.0,1.0,,,2.0,,,,,,,,
30,3,3,8.6,2787,Paul Lieberstein,83.0,77.0,17.0,20.0,10.0,5.0,13.0,,,1.0,,5.0,8.0,28.0,,3.0,,,,3.0,,,,8.0,,2.0,,
31,3,4,8.0,2686,Jennifer Celotta,106.0,40.0,19.0,34.0,4.0,9.0,7.0,,,7.0,,3.0,5.0,17.0,10.0,6.0,1.0,,,6.0,,,,15.0,,15.0,,
32,3,5,8.2,2622,B. J. Novak,44.0,57.0,47.0,56.0,8.0,4.0,4.0,,,43.0,,2.0,6.0,11.0,1.0,9.0,,,,,,,,13.0,,,,
33,3,6,8.0,2697,Mindy Kaling,77.0,8.0,20.0,26.0,18.0,9.0,10.0,,,12.0,,2.0,20.0,12.0,2.0,1.0,2.0,,,1.0,,,,15.0,,1.0,,
34,3,7,8.6,2642,Michael Schur,67.0,38.0,21.0,22.0,5.0,12.0,7.0,,,7.0,4.0,8.0,2.0,32.0,3.0,1.0,,,,,,,,9.0,,4.0,,
35,3,8,8.7,2768,Brent Forrester,149.0,84.0,81.0,45.0,55.0,21.0,7.0,,,11.0,,8.0,6.0,6.0,16.0,4.0,11.0,,,2.0,,,,30.0,,,,
36,3,9,8.3,2772,Ricky Gervais | Stephen Merchant,54.0,4.0,31.0,16.0,17.0,13.0,10.0,,,3.0,,1.0,,7.0,4.0,2.0,1.0,,,2.0,,,,10.0,,,,
37,3,10,8.8,2935,Jennifer Celotta,115.0,62.0,45.0,57.0,28.0,15.0,51.0,1.0,,22.0,3.0,15.0,19.0,,15.0,5.0,3.0,,,4.0,,,,35.0,,6.0,,
38,3,11,8.5,2623,Justin Spitzer,100.0,39.0,33.0,43.0,10.0,10.0,7.0,,,2.0,6.0,5.0,2.0,14.0,9.0,10.0,2.0,,,4.0,,,,9.0,,7.0,,
39,3,12,8.6,2688,Michael Schur | Lee Eisenberg | Gene Stupnitsky,48.0,33.0,39.0,26.0,29.0,7.0,17.0,,,8.0,,10.0,2.0,1.0,,8.0,,,,,,,,16.0,,,,
40,3,13,8.8,2822,Lee Eisenberg | Gene Stupnitsky | Michael Schur,48.0,25.0,25.0,10.0,40.0,3.0,14.0,11.0,,3.0,,3.0,,,,2.0,2.0,,,3.0,,,,4.0,,,,
41,3,14,8.1,2618,Mindy Kaling,77.0,29.0,25.0,30.0,,3.0,5.0,,,6.0,,,3.0,6.0,,1.0,2.0,,,,,,,15.0,,1.0,,
42,3,15,8.2,2641,Caroline Williams,49.0,25.0,19.0,15.0,,4.0,3.0,,,,,15.0,6.0,,2.0,2.0,1.0,,,,,,,4.0,,9.0,,
43,3,16,8.9,3028,Brent Forrester,65.0,25.0,20.0,29.0,,7.0,5.0,9.0,,16.0,,,11.0,,3.0,2.0,12.0,,,8.0,,,,6.0,,8.0,,
44,3,17,8.5,2622,Paul Lieberstein,85.0,35.0,22.0,24.0,,12.0,3.0,1.0,,12.0,,,4.0,47.0,5.0,5.0,2.0,,,2.0,,,8.0,14.0,,24.0,,
45,3,18,9.0,2968,Michael Schur,107.0,18.0,41.0,16.0,2.0,8.0,11.0,4.0,,9.0,43.0,4.0,14.0,30.0,17.0,4.0,,,,3.0,,,,16.0,,8.0,,
46,3,19,8.8,2798,B. J. Novak,102.0,70.0,31.0,21.0,34.0,22.0,5.0,3.0,,9.0,32.0,3.0,11.0,,8.0,5.0,,,,4.0,,,,5.0,,,,
47,3,20,8.8,2790,Justin Spitzer | Brent Forrester,68.0,42.0,74.0,16.0,56.0,10.0,25.0,9.0,,3.0,,1.0,25.0,,,1.0,,,,15.0,,,,4.0,,,,
48,3,21,8.8,2785,Gene Stupnitsky | Lee Eisenberg,92.0,46.0,33.0,36.0,16.0,11.0,11.0,,,5.0,,12.0,7.0,17.0,7.0,2.0,5.0,,,6.0,,,,15.0,,,,
49,3,22,9.1,3200,Jennifer Celotta | Greg Daniels,145.0,50.0,30.0,30.0,21.0,6.0,8.0,5.0,,5.0,,5.0,9.0,,4.0,12.0,7.0,,,2.0,,,9.0,9.0,,,,
50,3,23,9.3,3461,Paul Lieberstein | Michael Schur,123.0,70.0,65.0,51.0,30.0,17.0,6.0,12.0,,4.0,,5.0,7.0,43.0,,7.0,6.0,,,3.0,,,47.0,40.0,,,,
51,4,1,8.8,3262,Greg Daniels,160.0,57.0,53.0,84.0,10.0,21.0,50.0,14.0,,8.0,5.0,9.0,7.0,7.0,11.0,10.0,25.0,,,9.0,,,,,,,,
52,4,2,8.3,2605,Michael Schur,158.0,74.0,48.0,56.0,14.0,16.0,23.0,8.0,,85.0,,13.0,24.0,17.0,18.0,5.0,,,,15.0,,,,,,,,
53,4,3,8.4,2517,Jennifer Celotta,156.0,88.0,70.0,31.0,47.0,17.0,52.0,12.0,,7.0,9.0,9.0,12.0,6.0,8.0,7.0,14.0,,,1.0,,,,,,,,
54,4,4,8.7,2707,Paul Lieberstein,159.0,53.0,52.0,56.0,25.0,12.0,10.0,32.0,,21.0,10.0,3.0,13.0,40.0,2.0,7.0,1.0,,,7.0,,,,,,,,
55,4,5,8.8,2767,B. J. Novak,92.0,11.0,47.0,22.0,21.0,3.0,2.0,1.0,,8.0,10.0,7.0,,,2.0,1.0,3.0,,,2.0,,,,,,,,3.0
56,4,6,8.5,2545,Mindy Kaling,90.0,44.0,78.0,26.0,12.0,2.0,1.0,12.0,,,,2.0,,,10.0,10.0,1.0,,,,,,,25.0,,,,
57,4,7,8.2,2459,Steve Carell,82.0,36.0,69.0,23.0,7.0,2.0,7.0,7.0,,,,4.0,1.0,,16.0,2.0,5.0,,,12.0,,,,,,,,
58,4,8,8.7,2574,Lester Lewis,89.0,5.0,27.0,25.0,6.0,4.0,1.0,4.0,,10.0,3.0,3.0,15.0,30.0,4.0,3.0,1.0,,,3.0,,,3.0,,,,,1.0
59,4,9,9.4,4824,Gene Stupnitsky | Lee Eisenberg,101.0,18.0,42.0,35.0,14.0,,14.0,,,,,1.0,,90.0,,1.0,,,,,,,,,,,,
60,4,10,8.1,2439,B. J. Novak,100.0,22.0,26.0,42.0,14.0,20.0,4.0,2.0,,,,9.0,7.0,,1.0,1.0,,,,3.0,,,,,,,,
61,4,11,8.6,2536,Mindy Kaling,104.0,48.0,43.0,17.0,4.0,4.0,5.0,8.0,,70.0,,5.0,5.0,,8.0,6.0,1.0,,,2.0,,,,,,,,
62,4,12,8.3,2434,Brent Forrester | Justin Spitzer,99.0,32.0,31.0,30.0,23.0,8.0,3.0,2.0,,14.0,13.0,9.0,6.0,,13.0,23.0,1.0,,,1.0,,,,,,,,
63,4,13,7.8,2305,Lee Eisenberg | Gene Stupnitsky,76.0,10.0,21.0,34.0,14.0,9.0,4.0,5.0,,,6.0,2.0,1.0,,,,1.0,,,4.0,,,,,,,,
64,4,14,9.3,3453,Jennifer Celotta | Paul Lieberstein,167.0,49.0,77.0,47.0,12.0,23.0,17.0,4.0,,5.0,3.0,23.0,4.0,24.0,51.0,5.0,9.0,73.0,,8.0,,,,,,,,
65,5,1,8.8,2880,Lee Eisenberg | Gene Stupnitsky,130.0,61.0,68.0,36.0,31.0,14.0,26.0,24.0,,20.0,13.0,16.0,17.0,13.0,3.0,8.0,7.0,56.0,,5.0,,,,,,,,
66,5,2,8.3,2327,Ryan Koh,64.0,14.0,29.0,9.0,12.0,13.0,2.0,7.0,,12.0,,6.0,3.0,,,5.0,23.0,53.0,,2.0,,,,,,,,
67,5,3,8.0,2292,Aaron Shure,83.0,39.0,28.0,25.0,13.0,12.0,16.0,4.0,,,9.0,7.0,2.0,51.0,3.0,2.0,1.0,14.0,,2.0,,,,,,,,
68,5,4,8.1,2213,Charlie Grandy,94.0,33.0,36.0,11.0,7.0,5.0,8.0,5.0,,,8.0,24.0,,,,1.0,,36.0,,2.0,,,,,,14.0,,5.0
69,5,5,8.1,2289,Anthony Q. Farrell,101.0,38.0,25.0,25.0,44.0,5.0,8.0,6.0,,4.0,55.0,5.0,7.0,,,1.0,1.0,73.0,,2.0,,,,,,,15.0,
70,5,6,8.5,2371,Lester Lewis,73.0,99.0,111.0,34.0,29.0,2.0,6.0,,,6.0,1.0,4.0,23.0,,,4.0,1.0,,,,,,,,,,,
71,5,7,8.2,2201,Brent Forrester,77.0,16.0,22.0,14.0,69.0,2.0,10.0,38.0,,13.0,,2.0,15.0,,,3.0,5.0,,,1.0,,,,,,,,14.0
72,5,8,8.6,2447,Mindy Kaling,90.0,38.0,31.0,26.0,6.0,2.0,2.0,3.0,,18.0,,3.0,10.0,,29.0,,2.0,,,2.0,,,11.0,,,,,
73,5,9,8.8,2437,Gene Stupnitsky | Lee Eisenberg,100.0,29.0,31.0,58.0,18.0,3.0,23.0,31.0,,,,2.0,1.0,,2.0,4.0,1.0,,,1.0,,,6.0,,,,,
74,5,10,8.4,2300,Justin Spitzer,65.0,27.0,26.0,6.0,8.0,3.0,12.0,5.0,,,6.0,19.0,1.0,,15.0,4.0,36.0,,,1.0,,,,,,,,
75,5,11,8.7,2376,Jennifer Celotta,52.0,66.0,34.0,9.0,65.0,8.0,22.0,10.0,,,,3.0,2.0,,,2.0,6.0,,,2.0,,,8.0,,,,,
76,5,12,8.0,2298,B. J. Novak,90.0,73.0,13.0,5.0,5.0,14.0,3.0,3.0,,,,4.0,2.0,,,5.0,2.0,,,1.0,,,9.0,,,,,
77,5,13,9.7,7058,Paul Lieberstein,118.0,73.0,35.0,32.0,23.0,8.0,16.0,11.0,,,6.0,11.0,3.0,,,28.0,3.0,,,4.0,,,1.0,,,,,9.0
78,5,14,8.2,2169,Mindy Kaling,55.0,25.0,34.0,35.0,27.0,,,1.0,,,,3.0,8.0,,,7.0,,,,5.0,,,,20.0,,,,
79,5,15,8.2,2132,Mindy Kaling,50.0,33.0,33.0,38.0,,18.0,19.0,13.0,,,,1.0,18.0,,,2.0,9.0,,,2.0,,,,2.0,,,,
80,5,16,8.0,2164,Brent Forrester,86.0,31.0,35.0,32.0,,15.0,4.0,14.0,,,,11.0,9.0,,,2.0,3.0,,,,,,,,,,,
81,5,17,8.7,2333,Mindy Kaling,113.0,71.0,39.0,24.0,12.0,10.0,,7.0,,,3.0,,,,,1.0,,,,2.0,,,25.0,,,,,
82,5,18,8.3,2194,Lee Eisenberg | Gene Stupnitsky,104.0,21.0,30.0,14.0,6.0,5.0,8.0,3.0,,,,3.0,7.0,,,2.0,1.0,,,2.0,,,18.0,,,,,
83,5,19,8.4,2181,Aaron Shure,88.0,12.0,26.0,38.0,14.0,13.0,6.0,12.0,,,,3.0,6.0,,1.0,7.0,2.0,,,1.0,,,,,,,,
84,5,20,8.3,2182,B. J. Novak,78.0,17.0,35.0,65.0,16.0,10.0,3.0,1.0,,11.0,,2.0,1.0,,,4.0,,,,1.0,,,,,,,,
85,5,21,8.7,2391,Justin Spitzer,46.0,28.0,28.0,45.0,18.0,2.0,,5.0,16.0,25.0,,1.0,5.0,,3.0,3.0,1.0,,,2.0,,,,,,,,
86,5,22,8.7,2250,Ryan Koh,95.0,83.0,27.0,18.0,31.0,1.0,,,,9.0,,5.0,1.0,,,1.0,,,,,,,,,,,,
87,5,23,9.2,2942,Charlie Grandy,76.0,25.0,29.0,33.0,3.0,1.0,2.0,,1.0,24.0,,1.0,2.0,,,1.0,,,,,,,36.0,,,,,1.0
88,5,24,8.3,2162,Anthony Q. Farrell,95.0,49.0,29.0,30.0,12.0,1.0,5.0,5.0,10.0,25.0,1.0,13.0,2.0,,13.0,12.0,8.0,,,9.0,,,,,,,,
89,5,25,8.7,2454,Warren Lieberstein | Halsted Sullivan,85.0,32.0,17.0,19.0,16.0,15.0,17.0,6.0,23.0,2.0,,27.0,11.0,,,2.0,1.0,,,3.0,,,,,,,,
90,5,26,9.0,2581,Jennifer Celotta | Paul Lieberstein,55.0,41.0,24.0,25.0,12.0,5.0,3.0,2.0,3.0,,,4.0,,,2.0,2.0,2.0,38.0,,,,,13.0,,,,,
91,6,1,8.8,2504,Paul Lieberstein,95.0,20.0,42.0,27.0,38.0,14.0,5.0,10.0,7.0,1.0,,7.0,9.0,,1.0,12.0,4.0,,,6.0,,,,,,,,
92,6,2,8.1,2057,Aaron Shure,71.0,32.0,19.0,24.0,7.0,1.0,3.0,7.0,3.0,5.0,15.0,2.0,3.0,,26.0,2.0,6.0,,,4.0,,,34.0,,,,,1.0
93,6,3,8.0,2052,Jennifer Celotta,86.0,29.0,91.0,17.0,3.0,14.0,5.0,12.0,3.0,5.0,,13.0,4.0,,,3.0,9.0,,,3.0,,,,,,,,6.0
